# corodiff's XFAIL ledger (design 218 unit 0).
#
# A signature listed here is a twin-parity finding that has been FILED as a DF
# and is not yet fixed. corodiff still reports every hit — with its DF number
# and the first combo that reached it — but does not fail the run for it, so
# the battery's corodiff lane stays a signal rather than a wall.
#
# READ IT AS A MATRIX, not as a list of excuses. A runtime signature is
# `<kind>: <binding>/<placement> @ <context class>`, which names one testable
# cell of the axis grammar, and a mechanism's full set of cells is exactly the
# position matrix obligations 1 and 4 ask a fix brief to carry. The DF-217h and
# DF-217p blocks below ARE those matrices, generated from a full `--all`
# run rather than guessed.
#
# The rules are the suite's XFAIL rules:
#   - an entry MUST cite a DF, and a numbered DF MUST have a pin in examples/
#   - an entry that no longer fires is STALE — delete it in the landing that
#     fixes the bug, exactly as you delete the XFAIL marker
#   - `--ignore-known` re-reports everything here, which is how you check
#
# (The landing run's `DF-pending-*` entries were numbered DF-217n/o/p by the
# lead at integration; their examples/ pins ride the pin-promotion batch.)
#
# Format: DF <TAB> signature   (the signature corodiff prints for it)

# DF-217f's row is GONE, removed by design 237 unit 2 (the ledger sweep that
# unit's fix owed). The finding — a suspending call as an enum-constructor
# argument that is itself a `match` scrutinee — was CLOSED by design 224's
# container-HEAD hoist on Aug 15: a scrutinee is a head, `_hoist_container_heads`
# lifts it, and the ctor's own arguments then linearize through the funnel. The
# entry outlived its fix by six days; design 237's census re-probed every cell
# (`match Sig.One(v: s(7))`, the struct-init sibling, both `&&`/`||` LHS, the
# `if`/`while` conditions and the `for`-range bounds) and found them all working.
#
# DF-217g's row is GONE too, removed by the fix (design 237 unit 2): a
# destructuring `let` was the one LEAF statement class missing from the ANF
# hoist's entry set, and it is now a row of `_ANF_STMT_ENTRIES` with
# `examples/coro_destructuring_let_suspending_rhs.saw` as its matrix.

# DF-217h's seventeen rows are GONE, removed by design 218 stage 2 (Aug 14) in
# the landing that fixed them, exactly as an XPASS marker is. The ANF hoist's
# temp is a `Slot` now and its one read is `take()`, so a value consumed by the
# parent cannot also be dropped at teardown — the three argument positions the
# matrix carried (`v.set(i, f())`, `v.swap_out(i, f())`, `none() ?? f()`) and
# every oracle class they reached (linear, loop, cancel, teardown, MT) are
# clean on a full `--all` run.

# DF-216g — a closure naming `self` inside a SUSPENDING method ICEs: the
# capture is judged pre-transform, where `self` is the receiver, and the
# rewrite rebinds `self` to the frame. Pinned as
# examples/closure_captures_self_suspending.saw and pre-registered on design
# 218 unit 2's flip list. The sync twin compiles and runs (design 216 unit 1).
DF-216g	ICE: error: internal compiler error at <src>:N:N (MemberAccess): Cannot find field n in struct with type %"__Frame_Holder_run"

# DF-217n RETIRED (fixed Aug 18 — `case Has(_)` drops its payload; the ten
# LEAK/STDOUT-PARITY match_nobinding rows that lived here are gone with the
# fix). What REMAINS at the in_rhs cells is the DRIVEN twin's half of the old
# composite: it always released late (frame teardown — DF-217p's mechanism,
# as the old STDOUT-PARITY comment already recorded), and with the control
# twin now correct the divergence MORPHED from LEAK into DEINIT-ORDER. The
# two rows below are that morph, filed under the mechanism that owns them;
# the after/before/between cells do not force the scrutinee frame-resident,
# so they reach parity and need no rows. Found by the Aug-18 DF-217o gate's
# corodiff lane; design 237 unit 5's full cross re-verifies the whole matrix.
DF-217p-2026-08-13	DEINIT-ORDER: match_nobinding/in_rhs @ linear
DF-217p-2026-08-13	DEINIT-ORDER: match_nobinding/in_rhs @ loop

# DF-217p (reported 2026-08-13) — NEW, and the widest thing in this file:
# 61 cells of ONE mechanism. A frame-resident local in a driven body is
# released at FRAME TEARDOWN rather than at the end of the scope that owns it.
# Deterministic destruction is a language guarantee, so a resource held past
# its scope is a real behavioral difference and not a cosmetic one — the counts
# always balance, which is why this is DEINIT-ORDER and never LEAK.
#
# Two faces, both from the same cause:
#   - @ loop — a loop-body local survives into the NEXT iteration (and the last
#     iteration's survives the whole loop). Reaches essentially every binding
#     construct, which is what makes it a mechanism rather than a construct bug.
#   - @ linear — a scope that ends INSIDE the body: the replaced binding of a
#     same-scope redefinition (design 107 drops it AT the redefinition point),
#     an `if let`/`guard let` body's end, a `match` arm's end.
#
# Sharpest hand-written repro (.build/scratch/probe_loopdrift.saw): a driven
#     while i < 2 { yield_now()  let a = Res(name: "a{i}")  print(...) }
# prints `after loop` BEFORE the last iteration's `DEINIT a1`; the twin with
# the yield removed prints it after.
DF-217p-2026-08-13	DEINIT-ORDER: closure_capture_implicit/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: closure_capture_implicit/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: closure_capture_implicit/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: closure_capture_move/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: closure_capture_move/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: closure_capture_move/between @ loop
DF-217p-2026-08-13	DEINIT-ORDER: coalesce_rhs/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: coalesce_rhs/before @ loop
DF-217p-2026-08-13	DEINIT-ORDER: coalesce_rhs/in_rhs @ loop
DF-217p-2026-08-13	DEINIT-ORDER: guard_let/after @ loop
DF-217p-2026-08-13	DEINIT-ORDER: guard_let/before @ loop
